Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Laearr | Deco | By the Temple Altar | Fri Nov  8 17:49:42 2002
Gralyk | Adrosener | Traveller's Crescent | Fri Nov  8 21:07:21 2002
Zhrybian | Xenor | Upon the Grassy Hills of the Downs | Sat Nov  9 09:27:41 2002
Zhrybian | Xenor | The Dragon Sea | Sat Nov  9 09:41:49 2002
Raekwon | Xenor | The Holy Chamber of Air | Sat Nov  9 13:40:33 2002
Elemtreeist | Sadlick | Priest's Bar | Sat Nov  9 15:31:59 2002
Yhorian | Yhorian | Inside the East Gate of Midgaard | Sat Nov  9 17:30:10 2002
Laearrist | Deco | Hector Street | Sat Nov  9 17:33:50 2002
Viscious | Deco | The Dump | Sat Nov  9 17:38:36 2002
Icarus | Deco | The Temple Of Mota | Sat Nov  9 17:42:38 2002
Icarus | Deco | Back corner of the mind | Sat Nov  9 17:50:11 2002
Essobi | Ucker | The Pet Shop | Sat Nov  9 19:45:22 2002
Ucker | Laear | By the Temple Altar | Sat Nov  9 20:32:32 2002
Ucker | Laear | In the Shaft from the Dragon Chamber | Sat Nov  9 21:01:15 2002
Sheeit | Zrialynith | On a woodland trail | Sat Nov  9 22:04:53 2002
Essobi | Rhyzzyn | The Dark Alley | Sat Nov  9 22:05:48 2002
Essobi | Rhyzzyn | By the Temple Altar | Sat Nov  9 22:11:37 2002
Essobi | Rhyzzyn | By the Temple Altar | Sat Nov  9 22:15:23 2002
Essobi | Rhyzzyn | By the Temple Altar | Sat Nov  9 22:22:48 2002
Essobi | Joash | The Dark Alley | Sat Nov  9 22:37:33 2002
Quezphiel | Deco | The Fountain of Youth Apothecary | Sat Nov  9 23:34:16 2002
Zrialynith | Deco | The Fountain of Youth Apothecary | Sat Nov  9 23:34:39 2002
Zrialynith | Deco | Inside the East Gate of Midgaard | Sat Nov  9 23:43:48 2002
Zrialynith | Quezphiel | Outside the East Gate of Midgaard | Sat Nov  9 23:58:07 2002
Quezphiel | Nadraz | The bend in the trail in the dwarf forest | Sun Nov 10 00:01:35 2002
Quezphiel | Deco | The Throne Room of the Nebula King | Sun Nov 10 00:14:47 2002
Deco | Nadraz | The Throne Room of the Nebula King | Sun Nov 10 00:16:46 2002
Sharmerlin | Zemqruba | The General Store | Sun Nov 10 01:11:03 2002
Xenor | Adrosener | Market Square | Sun Nov 10 10:53:16 2002
Sharmerlin | Nadraz | A closet | Sun Nov 10 14:51:16 2002
Diobi | Nadraz | A corridor before the Hall | Sun Nov 10 14:56:33 2002
Essobi | Diobi | The Pet Shop | Sun Nov 10 15:10:02 2002
Essobi | Ethrix | The Pet Shop | Sun Nov 10 16:45:15 2002
Hubbley | Maelgwn | The Cross Roads | Sun Nov 10 19:30:17 2002
Hubbley | Zauvolt | The Cross Roads | Sun Nov 10 19:35:14 2002
Hubbley | Ghraag | At a muddy track | Sun Nov 10 20:49:54 2002
Hubbley | Ghraag | A dim trail in the dwarf forest | Sun Nov 10 20:58:32 2002
Maelgwn | Dustyn | Grassy fields | Sun Nov 10 21:25:40 2002
cloaked figure | Sharmerlin | At a muddy track | Sun Nov 10 21:26:20 2002
cloaked figure | Dustyn | At a muddy track | Sun Nov 10 21:27:01 2002
Viscious | Zrialynith | Alley at Levee | Sun Nov 10 21:28:02 2002
Corvus | Bluee | Market Square | Sun Nov 10 21:35:00 2002
Sharmerlin | Toktamrsh | The Chamber of Holiness | Sun Nov 10 21:39:15 2002
Corvus | Bluee | Market Square | Sun Nov 10 21:40:43 2002
Essobi | Laearrist | The Dark Alley | Sun Nov 10 22:23:18 2002
Sharmerlin | Laearrist | The bend in the trail in the dwarf forest | Sun Nov 10 22:27:15 2002
Zichlych | Laearrist | The Temple Gates | Sun Nov 10 22:36:23 2002
Essobi | Laearrist | Alley at Levee | Sun Nov 10 22:42:49 2002
Sharmerlin | Laearrist | At a muddy track | Sun Nov 10 22:51:24 2002
Essobi | Laearrist | The Pet Shop | Sun Nov 10 23:07:24 2002
Zichlych | Laearrist | The small alley | Sun Nov 10 23:28:28 2002
Sharmerlin | Laearrist | The castle dungeon | Sun Nov 10 23:33:55 2002
Xenor | Laearrist | The Overlook | Sun Nov 10 23:47:55 2002
Mirkon | Laearrist | The General Store | Sun Nov 10 23:51:27 2002
Zemqruba | Laear | Before the Tower | Mon Nov 11 00:19:31 2002
Gradelave | Ghraag | Inside the Great Hall | Mon Nov 11 05:54:26 2002
Kaahrag | Benius | Dark hallway | Mon Nov 11 16:20:01 2002
Kaahrag | Benius | Market Square | Mon Nov 11 16:29:15 2002
Kaahrag | Benius | The Hallway of Giants | Mon Nov 11 16:37:56 2002
Kaahrag | Benius | The Hallway of Giants | Mon Nov 11 16:41:34 2002
Benius | Ghraag | At a muddy track | Mon Nov 11 16:48:54 2002
Esobi | Dustyn | The Temple Of Mota | Mon Nov 11 17:48:21 2002
Dustyn | Ghraag | The village shrine | Mon Nov 11 19:50:40 2002
Diedrich | Nadraz | Inside the Great Hall | Mon Nov 11 21:39:45 2002
Diedrich | Nadraz | The Altar | Mon Nov 11 21:55:54 2002
Diedrich | Nadraz | The Holy of Holy's | Mon Nov 11 22:07:49 2002
Zemqruba | Diedrich | A waiting room | Mon Nov 11 22:12:54 2002
Ucker | Gash | Market Square | Mon Nov 11 23:19:40 2002
Ucker | Gash | Market Square | Mon Nov 11 23:24:39 2002
Ucker | Hubbley | Market Square | Mon Nov 11 23:28:38 2002
Esobi | Hubbley | Market Square | Mon Nov 11 23:32:03 2002
Ucker | Hubbley | Main Street | Mon Nov 11 23:32:25 2002
Gash | Hubbley | Main Street | Mon Nov 11 23:33:01 2002
Ucker | Quezphiel | The Main Street | Mon Nov 11 23:36:24 2002
Ucker | Quezphiel | Market Square | Mon Nov 11 23:42:38 2002
Ucker | Quezphiel | Inside the East Gate of Midgaard | Mon Nov 11 23:46:19 2002
Quezphiel | Hubbley | Village road | Mon Nov 11 23:49:51 2002
Gash | Viscious | Entrance to the Grunting Boar Inn | Mon Nov 11 23:52:29 2002
Hubbley | Quezphiel | Village road | Mon Nov 11 23:55:29 2002
Quezphiel | Hubbley | Village road | Tue Nov 12 00:01:15 2002
Ucker | Gash | Before a pool of blood | Tue Nov 12 00:04:34 2002
Quezphiel | Viscious | Village road | Tue Nov 12 00:15:53 2002
Feroph | Laear | Too Bright to Tell | Tue Nov 12 14:51:09 2002
Ghraag | Sharmerlin | By the beautiful waterfall | Tue Nov 12 15:12:14 2002
Aspikler | Laear | The Common Square | Tue Nov 12 15:27:50 2002
Aspikler | Duhsmasher | The Common Square | Tue Nov 12 15:53:54 2002
Viscious | Adrosener | At a muddy track | Tue Nov 12 17:45:18 2002
Diego | Adrosener | Inside the Great Hall | Tue Nov 12 18:15:13 2002
Asmodeus | Adrosener | Inside the Great Hall | Tue Nov 12 18:15:38 2002
Wijke | Adrosener | The Mouth of a Cave | Tue Nov 12 18:29:31 2002
Kaahrag | Adrosener | Along the Eastern Road | Tue Nov 12 18:36:57 2002
Diego | Wijke | By the beautiful waterfall | Tue Nov 12 18:56:48 2002
Diego | Wijke | At a muddy track | Tue Nov 12 18:58:38 2002
Diego | Adrosener | The Entrance | Tue Nov 12 19:04:28 2002
Diego | Sharmerlin | At a muddy track | Tue Nov 12 19:14:49 2002
Diego | Sharmerlin | At a muddy track | Tue Nov 12 19:15:45 2002
Diego | Wijke | At a muddy track | Tue Nov 12 19:16:59 2002
Diego | Sharmerlin | At a muddy track | Tue Nov 12 19:18:04 2002
Diego | Sharmerlin | By the beautiful waterfall | Tue Nov 12 19:21:11 2002
Diego | Sharmerlin | At a muddy track | Tue Nov 12 19:22:06 2002
Diego | Wijke | At a muddy track | Tue Nov 12 19:24:46 2002
Diego | Wijke | At a muddy track | Tue Nov 12 19:28:59 2002
Zhoraag | Laear | Eastern end of Alley | Tue Nov 12 19:32:35 2002
Diego | Wijke | At a muddy track | Tue Nov 12 19:32:41 2002
Asmodeus | Sharmerlin | The Chat Room | Tue Nov 12 20:04:32 2002
Wijke | Zichlych | A trail in the dwarf forest | Tue Nov 12 20:05:11 2002
Beer | Adrosener | The Entrance | Tue Nov 12 20:07:23 2002
Derintal | Asmodeus | The Entrance | Tue Nov 12 20:23:39 2002
Derintal | Asmodeus | The Entrance | Tue Nov 12 20:27:43 2002
Asmodeus | Sharmerlin | A Top Chamber of the Golden Citadel | Tue Nov 12 20:28:38 2002
Sharmerlin | Wijke | Village road | Tue Nov 12 20:39:55 2002
Asmodeus | Laearrist | At a muddy track | Tue Nov 12 21:19:08 2002
Asmodeus | Laearrist | By the beautiful waterfall | Tue Nov 12 21:19:41 2002
Laea | Asmodeus | {YCorner of Grehyton Road and Calinth Way{x | Tue Nov 12 21:30:16 2002
Xenor | Asmodeus | the base of the High Tower | Tue Nov 12 21:49:44 2002
Xenor | Asmodeus | the bone-filled Chamber | Tue Nov 12 21:57:11 2002
Orduno | Xenor | A trail in the dwarf forest | Wed Nov 13 00:01:12 2002
Peloquin | Gradelave | By the Temple Altar | Wed Nov 13 01:51:21 2002
Aranamus | Xenor | By the Temple Altar | Wed Nov 13 19:24:05 2002
Xenor | Brenbardo | Northeast corner of the Courtyard | Wed Nov 13 19:45:51 2002
Brenbardo | Adrosener | The Mystical Path | Wed Nov 13 20:17:55 2002
Asmodeus | Adrosener | The Mystical Path | Wed Nov 13 20:19:43 2002
Brenbardo | Adrosener | The Throne Room of the Nebula King | Wed Nov 13 20:21:34 2002
Laear | Adrosener | A Small Clearing | Wed Nov 13 20:23:26 2002
Brenbardo | Adrosener | The Throne Room of the Nebula King | Wed Nov 13 20:28:15 2002
Laear | Adrosener | At the Undeveloped Part of the Galaxy | Wed Nov 13 20:33:45 2002
Asmodeus | Adrosener | Inside the Tower of the Eternal Collective. | Wed Nov 13 20:36:17 2002
Asmodeus | Adrosener | Inside the Tower of the Eternal Collective. | Wed Nov 13 20:39:51 2002
Asmodeus | Adrosener | By the Temple Altar | Wed Nov 13 20:50:28 2002
Xenor | Laearrist | The Overlook | Wed Nov 13 20:51:11 2002
Asmodeus | Adrosener | In the southern swamps | Wed Nov 13 20:57:26 2002
Tybalt | Asmodeus | In a dark forest | Wed Nov 13 21:20:15 2002
Asmodeus | Laearrist | Dark hallway | Wed Nov 13 21:27:13 2002
Brenbardo | Laearrist | Dark hallway | Wed Nov 13 21:27:19 2002
Asmodeus | Laearrist | Archway before the Temple of Chaos | Wed Nov 13 21:44:48 2002
Asmodeus | Adrosener | The Entrance | Wed Nov 13 21:53:15 2002
Brenbardo | Adrosener | A prison room | Wed Nov 13 21:53:46 2002
Asmodeus | Adrosener | By the Temple Altar | Wed Nov 13 22:03:15 2002
Asmodeus | Adrosener | By the Temple Altar | Wed Nov 13 22:07:49 2002
Koefl | Adrosener | A Gloomy Secluded Path | Wed Nov 13 22:14:58 2002
Nouran | Zemqruba | Main Street | Wed Nov 13 22:45:43 2002
Quezphiel | Nouran | Inside the West Gate of Midgaard | Wed Nov 13 23:20:56 2002
Peloquin | Corvus | By the Temple Altar | Thu Nov 14 00:07:33 2002
Nouran | Peloquin | By the Temple Altar | Thu Nov 14 00:13:58 2002
Corvus | Nouran | The Temple Of Mota | Thu Nov 14 00:17:25 2002
Nouran | Xarius | Outside the Tower | Thu Nov 14 00:26:41 2002
Peloquin | Nouran | the street of Varggin Shih | Thu Nov 14 00:31:44 2002
Nouran | Feroph | Market Square | Thu Nov 14 00:47:48 2002
Corvus | Koefl | Market Square | Thu Nov 14 00:51:15 2002
Derintal | Laear | Entrance to Mud School | Thu Nov 14 02:17:07 2002
Benbardo | Benbardo | The Inner Gates | Thu Nov 14 15:03:19 2002
Benbardo | Laear | The Main Chamber of the Palace of the Sky | Thu Nov 14 17:00:07 2002
Wijke | Laear | By the Temple Altar | Thu Nov 14 18:10:04 2002
Toktamrsh | Laear | The Temple Of Mota | Thu Nov 14 18:35:49 2002
Pollo | Laear | Archway before the Temple of Chaos | Thu Nov 14 20:41:02 2002
Diedrich | Derintal | By the Temple Altar | Thu Nov 14 20:51:11 2002
Belzebuth | Laear | On the Bridge of Nebulae | Thu Nov 14 20:55:03 2002
Pollo | Laear | Archway before the Temple of Chaos | Thu Nov 14 21:02:26 2002
Nouran | Zrialynith | The Edge of the Valley | Thu Nov 14 21:05:46 2002
Pollo | Laearrist | By the Temple Altar | Thu Nov 14 21:17:54 2002
Benius | Laearrist | By the Temple Altar | Thu Nov 14 21:20:33 2002
Koefl | Laearrist | The Grunting Boar | Thu Nov 14 21:22:56 2002
Pollo | Entreri | The Grunting Boar | Thu Nov 14 21:23:48 2002
Messugha | Benbardo | The Pet Shop | Thu Nov 14 22:02:28 2002
Benbardo | Derintal | The Temple Of Mota | Thu Nov 14 22:05:57 2002
Pollo | Derintal | Market Square | Thu Nov 14 22:29:25 2002
Laear | Derintal | By the Temple Altar | Thu Nov 14 22:30:10 2002
Pollo | Quezphiel | Market Square | Thu Nov 14 22:32:28 2002
Benbardo | Laear | Asgard | Thu Nov 14 22:45:50 2002
Pollo | Quezphiel | Wall Road | Thu Nov 14 22:47:51 2002
Krunk | Pollo | By the Temple Altar | Thu Nov 14 23:54:45 2002
Quezphiel | Eleena | The Temple Of Mota | Thu Nov 14 23:55:49 2002
Aspikler | Ethrix | Archway before the Temple of Chaos | Fri Nov 15 00:50:44 2002
Ethrix | Eleena | A triple junction | Fri Nov 15 11:34:38 2002
Brenbardo | Eleena | The Mystical Path | Fri Nov 15 11:43:25 2002
Belcarz | Brenbardo | Before a guard's tent | Fri Nov 15 13:02:42 2002
Swifty | Laearrist | Grassy plains | Fri Nov 15 13:51:10 2002
Xarius | Koefl | A Hallway | Fri Nov 15 15:10:06 2002
Koefl | Eleena | WAY Far Down into the Valley | Fri Nov 15 15:11:26 2002
Xarius | Sharmerlin | At a muddy track | Fri Nov 15 15:43:07 2002
Messugha | Zrialynith | In the Shaft from the Dragon Chamber | Fri Nov 15 17:04:15 2002
Messugha | Adrosener | The Entrance | Fri Nov 15 18:01:03 2002
Adrosener | Brenbardo | The Anteroom to the Temple of Ofcol | Fri Nov 15 18:01:40 2002
Adrosener | Brenbardo | The Entrance | Fri Nov 15 18:09:45 2002
Koefl | Koefl | Barn | Fri Nov 15 18:12:53 2002
Xarius | Brenbardo | The Temple Of Mota | Fri Nov 15 18:22:06 2002
Joash | Brenbardo | Fourth Level | Fri Nov 15 18:28:09 2002
Messugha | Sharmerlin | Market Square | Fri Nov 15 18:52:22 2002
Brenbardo | Eleena | Second Level | Fri Nov 15 18:59:03 2002
Brenbardo | Eleena | Black Hole | Fri Nov 15 19:19:05 2002
Eleena | Brenbardo | Outside the Tower | Fri Nov 15 19:25:23 2002
Kythia | Kythia | Lost in the Mist | Fri Nov 15 21:41:41 2002
Kythia | Messugha | The darker dwarf forest | Fri Nov 15 21:47:35 2002
Brenbardo | Rhyzzyn | The Mystical Path | Fri Nov 15 22:09:09 2002
Artren | Rhyzzyn | Inside the West Gate of Midgaard | Fri Nov 15 22:13:53 2002
Pollo | Messugha | Inside the HQ | Fri Nov 15 22:50:11 2002
Eleena | Messugha | Outside the Tower | Fri Nov 15 23:18:47 2002
Pollo | Eleena | The Entrance | Fri Nov 15 23:28:56 2002
Wijke | Pollo | At a muddy track | Sat Nov 16 00:15:27 2002
Belcarz | Eulb | Market Square | Sat Nov 16 01:26:12 2002
Belcarz | Eulb | Market Square | Sat Nov 16 01:29:07 2002
Pollo | Eleena | City Hall | Sat Nov 16 11:20:31 2002
Brenbardo | Aspikler | Outside the Tower | Sat Nov 16 11:42:48 2002
Pollo | Eleena | Main Street | Sat Nov 16 11:53:48 2002
Zarrabia | Zrialynith | Grubby Inn | Sat Nov 16 14:47:17 2002
Laear | Eleena | Outside the Tower | Sat Nov 16 15:52:37 2002
Quezphiel | Koefl | Market Square | Sat Nov 16 17:48:08 2002
Quezphiel | Koefl | Market Square | Sat Nov 16 17:53:54 2002
Gradelave | Endus | By the Temple Altar | Sat Nov 16 20:03:01 2002
Messugha | Messugha | Death Row | Sun Nov 17 16:40:27 2002
Meurk | Messugha | Upstairs | Sun Nov 17 17:06:01 2002
Messugha | Messugha | Graelik's Lair | Sun Nov 17 17:21:51 2002
Gigantus | Meurk | Melancholy's Room | Sun Nov 17 18:26:16 2002
Gigantus | Meurk | Inside the East Gate of Midgaard | Sun Nov 17 18:30:34 2002
Gigantus | Meurk | Melancholy's Maps | Sun Nov 17 18:40:38 2002
Zrialynith | Wang | By the Temple Altar | Sun Nov 17 21:01:13 2002
Messugha | Laearrist | Market Square | Sun Nov 17 21:59:34 2002
Swifty | Swifty | By the Temple Altar | Mon Nov 18 02:14:01 2002
Dante | Dante | By the Temple Altar | Mon Nov 18 06:19:02 2002
Xantallis | Wijke | Grassy fields | Mon Nov 18 13:24:13 2002
Aspikler | Nadraz | North Wall of Arena | Mon Nov 18 16:44:21 2002
Meurk | Nadraz | Wall Road | Mon Nov 18 16:54:09 2002
Taylor | Nadraz | The Woodsman Inn | Mon Nov 18 17:15:53 2002
Messugha | Nadraz | The Entrance | Mon Nov 18 17:28:57 2002
Brenbardo | Raog | A Dank Tunnel | Mon Nov 18 17:34:08 2002
Raekwon | Zemqruba | Before the Tower | Mon Nov 18 17:41:09 2002
Raog | Nadraz | Ringkeeper's Room | Mon Nov 18 17:41:55 2002
Zemqruba | Laear | By the Temple Altar | Mon Nov 18 18:41:39 2002
Messugha | Zrialynith | By the Temple Altar | Mon Nov 18 18:58:10 2002
Laear | Rinaldi | By the Temple Altar | Mon Nov 18 18:58:28 2002
Massadi | Laear | The Temple Of Mota | Mon Nov 18 19:04:35 2002
Massadi | Rinaldi | The Temple Of Mota | Mon Nov 18 19:38:57 2002
Meurk | Nadraz | The Mouth of a Cave | Mon Nov 18 20:41:49 2002
Meurk | Quezphiel | Melancholy's Room | Mon Nov 18 22:51:14 2002
Koefl | Pollo | By the Temple Altar | Mon Nov 18 23:02:28 2002
Metuli | Eulb | Grassy plains | Mon Nov 18 23:15:40 2002
Pollo | Eulb | The chapel | Mon Nov 18 23:24:18 2002
Quezphiel | Eulb | Village road | Mon Nov 18 23:36:42 2002
Lokratz | Grish | The Temple Of Mota | Tue Nov 19 11:35:53 2002
Ioberai | Nadraz | The Temple Of Mota | Tue Nov 19 12:49:18 2002
Massadi | Grerk | Traversing the Astral Plane | Tue Nov 19 14:35:12 2002
Xanthius | Grerk | A Coral Reef | Tue Nov 19 14:37:21 2002
Messugha | Messugha | Through the deep forest | Tue Nov 19 19:22:28 2002
Feroph | Feroph | The turn in the swampy path | Tue Nov 19 19:37:07 2002
Metuli | Metuli | Water Chamber | Tue Nov 19 19:47:06 2002
Metuli | Feroph | By the Temple Altar | Tue Nov 19 20:05:14 2002
Dante | Metuli | The Temple Of Mota | Tue Nov 19 20:22:41 2002
Dante | Benius | The Northwest Corner | Tue Nov 19 20:37:16 2002
Derintal | Nouran | Inside the East Gate of Midgaard | Tue Nov 19 20:56:17 2002
Benius | Pollo | By the Temple Altar | Tue Nov 19 21:02:20 2002
Nouran | Adrosener | An Upper Chamber of the Golden Citadel | Tue Nov 19 21:02:57 2002
Benius | Dante | By the Temple Altar | Tue Nov 19 21:18:30 2002
Dante | Nadraz | Fourth Level | Tue Nov 19 21:24:20 2002
Dante | Dante | By the Temple Altar | Tue Nov 19 21:31:03 2002
Derintal | Kaerk | Wall Road | Tue Nov 19 21:46:04 2002
Reaper | Dante | The Throne Room | Wed Nov 20 01:22:49 2002
cloaked figure | cloaked figure | By the Temple Altar | Wed Nov 20 01:25:39 2002
Massadi | Dante | Third Level | Wed Nov 20 01:29:04 2002
Hulios | Viscious | The Temple Of Mota | Wed Nov 20 16:05:20 2002
Meurk | Viscious | Wall Road | Wed Nov 20 21:19:19 2002
Meurk | Viscious | Wall Road | Wed Nov 20 21:23:40 2002
Artren | Meurk | A trail in the dwarf forest | Wed Nov 20 21:29:43 2002
Endus | Viscious | Entering the village | Wed Nov 20 21:41:42 2002
Endus | Adrosener | The Temple Square | Wed Nov 20 21:47:23 2002
Dante | Nadraz | Cave Entrance | Wed Nov 20 22:56:39 2002
Jharalan | Pollo | The Entrance | Wed Nov 20 23:19:53 2002
Cador | Dante | On the second floor | Thu Nov 21 00:30:25 2002
Meurk | Swifty | The Mystical Path | Thu Nov 21 15:48:22 2002
Swifty | Meurk | The Temple Of Mota | Thu Nov 21 15:52:28 2002
Swifty | Meurk | By the Temple Altar | Thu Nov 21 15:57:45 2002
Meurk | Viscious | By the Temple Altar | Thu Nov 21 15:59:25 2002
Cador | Eleena | By the Temple Altar | Thu Nov 21 20:05:45 2002
Thrawn | Cador | The Dracolich's Lair | Thu Nov 21 20:15:46 2002
Zarrabia | Adrosener | Black Hole | Thu Nov 21 20:16:04 2002
Thrawn | Kaerk | By the beautiful waterfall | Thu Nov 21 20:51:14 2002
Cador | Adrosener | Market Square | Thu Nov 21 21:11:21 2002
Aranamus | Toktamrsh | At a muddy track | Thu Nov 21 21:58:00 2002
Lars | Thrawn | At a muddy track | Thu Nov 21 21:58:13 2002
Aranamus | Toktamrsh | At a muddy track | Thu Nov 21 21:58:40 2002
Kacela | Laear | Abdul's Armor | Thu Nov 21 23:27:19 2002
Iltrilnon | Laear | By the Temple Altar | Thu Nov 21 23:28:59 2002
Cador | Quezphiel | By the beautiful waterfall | Thu Nov 21 23:54:58 2002
Dante | Cador | Too Bright to Tell | Fri Nov 22 00:20:58 2002
Daemonicus | Vladmir | The Library | Fri Nov 22 02:12:53 2002
Thrawn | Meurk | Melancholy's Room | Fri Nov 22 17:08:51 2002
Elylia | Eleena | The Dragon Chamber | Fri Nov 22 17:21:17 2002
Aurion | Aurion | By the Temple Altar | Fri Nov 22 17:36:29 2002
Laear | Aurion | The Inner Gates | Fri Nov 22 18:02:20 2002
Elylia | Laear | A long hallway | Fri Nov 22 18:13:05 2002
Laear | Meurk | The Mystical Path | Fri Nov 22 18:16:21 2002
Laear | Meurk | Outside the Tower | Fri Nov 22 18:21:29 2002
Laear | Meurk | The Mystical Path | Fri Nov 22 18:27:49 2002
Meurk | Kaerk | The Mystical Path | Fri Nov 22 18:52:28 2002
Vladmir | Sandra | In a room with a green fountain | Fri Nov 22 19:12:26 2002
Aurion | Sandra | By the Temple Altar | Fri Nov 22 19:16:40 2002
Pollo | Sandra | Black Hole | Fri Nov 22 19:28:47 2002
Yuber | Sandra | Alley at Levee | Fri Nov 22 19:31:11 2002
Vladmir | Kaerk | By the Temple Altar | Fri Nov 22 19:32:58 2002
Pollo | Eleena | The Mystical Path | Fri Nov 22 19:36:10 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 19:40:20 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 19:44:37 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 19:45:03 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 19:50:12 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 19:50:45 2002
Eleena | Entreri | Inside the West Gate of Midgaard | Fri Nov 22 19:52:10 2002
Entreri | Eleena | Inside the West Gate of Midgaard | Fri Nov 22 19:52:10 2002
Kaerk | Eleena | Inside the West Gate of Midgaard | Fri Nov 22 19:52:10 2002
Entreri | Grerk | Inside the West Gate of Midgaard | Fri Nov 22 19:56:19 2002
Pollo | Sandra | By the Temple Altar | Fri Nov 22 20:04:12 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:06:46 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:07:33 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:08:49 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:09:26 2002
Kaerk | Eleena | Standing in the Courtyard | Fri Nov 22 20:09:32 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:10:36 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:11:49 2002
Pollo | Sandra | Outside the Tower | Fri Nov 22 20:12:29 2002
Pollo | Eleena | The Mystical Path | Fri Nov 22 20:14:43 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:15:57 2002
Pollo | Eleena | The Mystical Path | Fri Nov 22 20:16:58 2002
Pollo | Eleena | The Mystical Path | Fri Nov 22 20:19:06 2002
Pollo | Sandra | The Mystical Path | Fri Nov 22 20:20:13 2002
Pollo | Eleena | The Mystical Path | Fri Nov 22 20:20:59 2002
Pollo | Eleena | The Mystical Path | Fri Nov 22 20:21:59 2002
Sandra | Kaerk | On the Bridge of Nebulae | Fri Nov 22 20:23:19 2002
Eleena | Sharmerlin | By the beautiful waterfall | Fri Nov 22 20:27:56 2002
Eleena | Dustyn | At a muddy track | Fri Nov 22 20:28:19 2002
Pollo | Dustyn | At a muddy track | Fri Nov 22 20:29:32 2002
Eleena | Sharmerlin | At a muddy track | Fri Nov 22 20:29:43 2002
Eleena | Sycho | By the beautiful waterfall | Fri Nov 22 20:35:04 2002
Dustyn | Eleena | By the beautiful waterfall | Fri Nov 22 20:39:41 2002
Zauvolt | Kaerk | The Inner Gates | Fri Nov 22 21:22:38 2002
Darrien | Nadraz | On the Bridge | Sun Nov 24 00:47:17 2002
Aurion | Darrien | The Entrance | Sun Nov 24 01:11:39 2002
Aurion | Darrien | Inside the HQ | Sun Nov 24 01:12:57 2002
Aurion | Darrien | Inside the HQ | Sun Nov 24 01:13:48 2002
Darrien | Zrialynith | The Entrance | Sun Nov 24 01:15:51 2002
Quezphiel | Dante | In the air... | Sun Nov 24 01:49:41 2002
Zemqruba | Dante | On the second floor | Sun Nov 24 02:17:43 2002
Chaiz | Yuber | The Dark Alley | Sun Nov 24 13:47:08 2002
Hulios | Yuber | The Inner Gates | Sun Nov 24 13:54:47 2002
Hulios | Sharmerlin | Captain's Quarters | Sun Nov 24 14:01:53 2002
Messugha | Ethrix | Within a Dark Clearing | Sun Nov 24 19:13:27 2002
Nourdul | Adrosener | The Entrance | Sun Nov 24 19:37:23 2002
Messugha | Adrosener | Above the Dragon Chamber | Sun Nov 24 19:37:38 2002
Trustin | Kaerk | The Temple Square | Sun Nov 24 20:11:18 2002
Corvus | Cador | Outside the Tower | Sun Nov 24 22:34:36 2002
Nouran | Viscious | The Dark Alley | Mon Nov 25 13:03:05 2002
Nourdul | Penz | Wall Road | Mon Nov 25 13:09:14 2002
Sharmerlin | Penz | Village road | Mon Nov 25 15:42:50 2002
Aurion | Adrosener | A turn in the hallway | Mon Nov 25 16:12:57 2002
Lokratz | Lokratz | The Throne Room | Mon Nov 25 16:25:49 2002
Adrosener | Ioberai | Fourth Level | Mon Nov 25 17:03:35 2002
Ioberai | Grerk | Down to the Death Walk | Mon Nov 25 17:10:19 2002
Sandra | Ethrix | Terror Chamber | Mon Nov 25 17:51:01 2002
Trustin | Toktamrsh | At a muddy track | Mon Nov 25 19:55:01 2002
Cador | Sandra | The Tomb of Ramses | Tue Nov 26 17:32:07 2002
Pollo | Sandra | A stream of consciousness | Tue Nov 26 19:52:57 2002
Pollo | Xarius | Melancholy's Room | Tue Nov 26 20:21:49 2002
Brutys | Pollo | The steep foothills | Tue Nov 26 23:28:46 2002
Norsus | Dell | In the Arkham swamps | Wed Nov 27 13:52:30 2002
Pariah | Ganedyren | Upon the Grassy Hills of the Downs | Wed Nov 27 16:23:20 2002
Trustin | Grerk | By the Temple Altar | Wed Nov 27 16:48:30 2002
Trustin | Sycho | The Throne Room of the Nebula King | Wed Nov 27 20:49:17 2002
Meurk | Sharmerlin | Grassy fields | Wed Nov 27 21:11:47 2002
Lirel | Trustin | By the Temple Altar | Wed Nov 27 21:49:28 2002
Artren | Adrosener | A rough trail | Wed Nov 27 22:18:42 2002
Raog | Nourdul | The Temple Of Mota | Wed Nov 27 22:42:29 2002
Lanceweiser | Sycho | Market Square | Thu Nov 28 03:13:10 2002
